nodenumber,x-coordinate,y-coordinate,pressure,x-velocity,y-velocity
14898,2.3664571530e-01,3.7418228710e-01,5.3841844360e-02,1.0385349000e+00,8.8588092630e+00
14899,2.6378863000e-03,3.7418804760e-01,2.0804422880e-04,1.0000018640e+00,4.9119536150e+01
14900,3.9770788400e-03,3.7427807920e-01,3.0914817730e-04,1.0000035760e+00,4.9111113310e+01
14901,4.9029645740e-02,3.7427818630e-01,4.2122404930e-03,1.0004140600e+00,4.8716278540e+01
14902,5.2678152810e-03,3.7429522440e-01,4.0989769100e-04,1.0000071690e+00,4.9108337160e+01
14903,6.3946114850e-03,3.7438646630e-01,4.9734966790e-04,1.0000090600e+00,4.9099541590e+01
14904,9.9417493860e-01,3.7444530680e-01,-2.3055191110e-03,1.0495619880e+00,5.0452658460e-02
14905,8.9730668030e-01,3.7444742820e-01,-2.3446240240e-03,1.0487706480e+00,6.8961532000e-01
14906,9.8982131440e-01,3.7445367890e-01,-2.3177377900e-03,1.0495336390e+00,8.8215575550e-02
14907,9.9198259560e-01,3.7448736120e-01,-2.3122598740e-03,1.0495435870e+00,6.9927516870e-02
14908,1.0948591130e-02,3.7449749700e-01,8.6328207940e-04,1.0000296130e+00,4.9074652320e+01
14909,9.7048818720e-01,3.7450341720e-01,-2.3502242890e-03,1.0493952900e+00,2.4225253130e-01
14910,9.9606991650e-01,3.7456074320e-01,-2.2992409870e-03,1.0495613850e+00,3.3650304100e-02
14911,7.8513530230e-03,3.7470858880e-01,6.0785786540e-04,1.0000094320e+00,4.9071395380e+01
14912,9.9731214730e-01,3.7479345580e-01,-2.2958375870e-03,1.0495415940e+00,2.2037432110e-02
14913,1.8856095430e-02,3.7492360620e-01,1.4829580760e-03,1.0000685740e+00,4.9002338020e+01
14914,9.8012115520e-01,3.7493122960e-01,-2.3404249680e-03,1.0494109770e+00,1.6851694830e-01
14915,8.2833910280e-01,3.7497522340e-01,-3.0201901600e-03,1.0480676240e+00,1.3644329520e+00
14916,9.7573947530e-01,3.7498720990e-01,-2.3471134100e-03,1.0493780440e+00,2.0121136300e-01
14917,0.0000000000e+00,3.7500000000e-01,0.0000000000e+00,1.0000000000e+00,4.9060516950e+01
14918,1.0000000000e+00,3.7500000000e-01,-2.2865539190e-03,1.0495327150e+00,0.0000000000e+00
14919,9.9865421640e-01,3.7500087180e-01,-2.2906785170e-03,1.0495270500e+00,1.1208240590e-02
14920,1.2862313350e-03,3.7510605110e-01,1.1593674300e-04,1.0000028580e+00,4.9050067190e+01
14921,2.5947691800e-03,3.7526008550e-01,2.0389418790e-04,1.0000045650e+00,4.9036127450e+01
14922,1.4690327410e-02,3.7533217340e-01,1.1502551030e-03,1.0000475750e+00,4.8993544750e+01
14923,9.8346248240e-01,3.7546721030e-01,-2.3375126530e-03,1.0493728120e+00,1.4160641190e-01
14924,3.9299378760e-03,3.7552192610e-01,3.0454066130e-04,1.0000094060e+00,4.9014224400e+01
14925,3.9665745850e-02,3.7556015340e-01,3.2888854410e-03,1.0002825600e+00,4.8730180980e+01
14926,9.9594828900e-01,3.7599569130e-01,-2.3080443430e-03,1.0493905160e+00,3.4040822490e-02
14927,0.0000000000e+00,3.7600000000e-01,0.0000000000e+00,1.0000000000e+00,4.8986130340e+01
